id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,run_count,cumulative_ka_mean,cumulative_ka_lower,cumulative_ka_upper,adjacent_reference_iteration,adjacent_ka_mean,adjacent_ka_lower,adjacent_ka_upper
187,Covid,48,0,,,,1,,,,,,,
188,COVID,48,0,,,,1,,,,,,,
189,coronoa virus,48,0,,,,1,,,,,,,
190,immigration,12,0,,,,1,,,,,,,
191,Coronavirus,48,0,,,,1,,,,,,,
192,Brexit,15,0,,,,1,,,,,,,
193,Ecomomy,26,0,,,,1,,,,,,,
194,Covid,48,0,,,,1,,,,,,,
195,THE ECONOMY,26,0,,,,1,,,,,,,
196,Recovering from Coronavirus,48,0,,,,1,,,,,,,
197,Covid,48,0,,,,1,,,,,,,
198,The rising cost of living,32,0,,,,1,,,,,,,
199,Energy prices,32,0,,,,1,,,,,,,
200,dealing with the pandemic,48,0,,,,1,,,,,,,
201,covid,48,0,,,,1,,,,,,,
202,Recovery from pandemic,48,0,,,,1,,,,,,,
203,Overpopulation,40 Environment,0,,,,1,,,,,,,
204,the Covid vaccinations,48,0,,,,1,,,,,,,
205,Covid,48,0,,,,1,,,,,,,
206,economy,26,0,,,,1,,,,,,,
207,Pandemic,48,0,,,,1,,,,,,,
208,Household bills,32,0,,,,1,,,,,,,
209,Immigrants,12,0,,,,1,,,,,,,
210,Climate emergency,40 Environment,0,,,,1,,,,,,,
211,economy,26,0,,,,1,,,,,,,
212,the economy,26,0,,,,1,,,,,,,
213,Immigration,,0,,,,1,,,,,,,
214,Covid,48,0,,,,1,,,,,,,
215,Covid,48,0,,,,1,,,,,,,
216,COVID,48,0,,,,1,,,,,,,
217,Lockdown,48,0,,,,1,,,,,,,
218,Covid_19,48,0,,,,1,,,,,,,
219,Cost of living crisis,32,0,,,,1,,,,,,,
220,covid,48,0,,,,1,,,,,,,
221,Economy,26,0,,,,1,,,,,,,
222,finanaces,26,0,,,,1,,,,,,,
223,Cost of Energy,32,0,,,,1,,,,,,,
224,Climate change,40,0,,,,1,,,,,,,
225,The Environment,40,0,,,,1,,,,,,,
226,covid,48,0,,,,1,,,,,,,
227,Covid,48,0,,,,1,,,,,,,
228,covid 19,48,0,,,,1,,,,,,,
229,Cost of living crisis,32,0,,,,1,,,,,,,
230,Climate change,40,0,,,,1,,,,,,,
231,Cost of Living,Living costs,0,,,,1,,,,,,,
232,Climate Change,40,0,,,,1,,,,,,,
233,Price rises,32,0,,,,1,,,,,,,
234,Covid,48,0,,,,1,,,,,,,
235,Covid,48,0,,,,1,,,,,,,
236,Cost of living,32,0,,,,1,,,,,,,
237,Cost of living,32,0,,,,1,,,,,,,
238,Covid 19 and the variants,48,0,,,,1,,,,,,,
239,Immigration,,0,,,,1,,,,,,,
240,Economy,26,0,,,,1,,,,,,,
241,Covid-19,48,0,,,,1,,,,,,,
242,Economy,26,0,,,,1,,,,,,,
243,Pandemic,48,0,,,,1,,,,,,,
244,Covid,48,0,,,,1,,,,,,,
245,Rising cost of living,32,0,,,,1,,,,,,,
246,Cost of living,32,0,,,,1,,,,,,,
247,health - fighting the Corona virus,48,0,,,,1,,,,,,,
248,Covid,48,0,,,,1,,,,,,,
249,Climate change,40,0,,,,1,,,,,,,
250,Climate change,40,0,,,,1,,,,,,,
251,Covid,48,0,,,,1,,,,,,,
252,Economy,26,0,,,,1,,,,,,,
253,Climate Change,40,0,,,,1,,,,,,,
254,The costs of covid,48,0,,,,1,,,,,,,
255,Pandemic,48,0,,,,1,,,,,,,
256,Economy,26,0,,,,1,,,,,,,
257,Covid 19,Coronavirus,0,,,,1,,,,,,,
258,Covid 19,48,0,,,,1,,,,,,,
259,Covid-19,48,0,,,,1,,,,,,,
260,Climate change,40,0,,,,1,,,,,,,
261,covid,48,0,,,,1,,,,,,,
262,Covid,48,0,,,,1,,,,,,,
263,recovering from covid,48,0,,,,1,,,,,,,
264,Cost of living,32,0,,,,1,,,,,,,
265,Economy,26,0,,,,1,,,,,,,
266,Cost of living,32,0,,,,1,,,,,,,
267,ENERGY PRICE RISE,32,0,,,,1,,,,,,,
268,Covid-19,48,0,,,,1,,,,,,,
269,Covid pandemic,48,0,,,,1,,,,,,,
270,Coronavirus,48,0,,,,1,,,,,,,
271,pensioners struggling to pay their bills,32 - Living costs,0,,,,1,,,,,,,
272,Coronavirus,48,0,,,,1,,,,,,,
273,Cost of fuel,32,0,,,,1,,,,,,,
274,Economy,26,0,,,,1,,,,,,,
275,covid,48,0,,,,1,,,,,,,
276,Cost of Living increases,32,0,,,,1,,,,,,,
277,Price increases,32,0,,,,1,,,,,,,
278,Affordability,32,0,,,,1,,,,,,,
279,Covid,48,0,,,,1,,,,,,,
280,Climate change,40,0,,,,1,,,,,,,
281,Immigration,,0,,,,1,,,,,,,
282,Covid,48,0,,,,1,,,,,,,
283,covid,48,0,,,,1,,,,,,,
284,Covid,48,0,,,,1,,,,,,,
285,Cost of living,32,0,,,,1,,,,,,,
286,The economy,26,0,,,,1,,,,,,,
287,covie vir 19,48,0,,,,1,,,,,,,
288,Cost of living rise,32,0,,,,1,,,,,,,
289,Cost of living,32,0,,,,1,,,,,,,
290,Covid,48,0,,,,1,,,,,,,
291,the economy,26,0,,,,1,,,,,,,
292,Covid,48,0,,,,1,,,,,,,
293,covid,48,0,,,,1,,,,,,,
294,Covid,48,0,,,,1,,,,,,,
295,Covid-19,48,0,,,,1,,,,,,,
296,Covid pandemic,48,0,,,,1,,,,,,,
297,the economy,26,0,,,,1,,,,,,,
298,Economy,26,0,,,,1,,,,,,,
299,Border Control,12,0,,,,1,,,,,,,
300,Covid,48,0,,,,1,,,,,,,
301,Opening country back up,26 - Economy-general,0,,,,1,,,,,,,
302,covid,48,0,,,,1,,,,,,,
303,immigrants crossing the English Channel,12,0,,,,1,,,,,,,
304,Immigration,,0,,,,1,,,,,,,
305,climate change,40 Environment,0,,,,1,,,,,,,
306,Brexit & Covid,"15, 48",0,,,,1,,,,,,,
307,Covid,48,0,,,,1,,,,,,,
308,covid,48,0,,,,1,,,,,,,
309,covid,48,0,,,,1,,,,,,,
310,Economy,26,0,,,,1,,,,,,,
311,Corona virus,48,0,,,,1,,,,,,,
312,COVID,48,0,,,,1,,,,,,,
313,Covid,48,0,,,,1,,,,,,,
314,covid,48,0,,,,1,,,,,,,
315,price increases,32,0,,,,1,,,,,,,
316,Climate change,40,0,,,,1,,,,,,,
317,cost of living,32,0,,,,1,,,,,,,
318,Brexit,15,0,,,,1,,,,,,,
319,covid,48,0,,,,1,,,,,,,
320,Energy prices,32,0,,,,1,,,,,,,
321,Coronavirus,48,0,,,,1,,,,,,,
322,COVID-19,48,0,,,,1,,,,,,,
323,Covid-19,48,0,,,,1,,,,,,,
324,Rising prices of food .fuel e.t.c,32,0,,,,1,,,,,,,
325,coronavirus,48,0,,,,1,,,,,,,
326,Covid,48,0,,,,1,,,,,,,
327,Covid,48,0,,,,1,,,,,,,
328,covid 19,48,0,,,,1,,,,,,,
329,Covid 19,48,0,,,,1,,,,,,,
330,Cost of living,32,0,,,,1,,,,,,,
331,Climate change,40,0,,,,1,,,,,,,
332,COVID Issues,48,0,,,,1,,,,,,,
333,Covid,48,0,,,,1,,,,,,,
334,cost of living,32,0,,,,1,,,,,,,
335,economic recovery,26,0,,,,1,,,,,,,
336,Economy,26,0,,,,1,,,,,,,
337,Economy & cost of living,32,0,,,,1,,,,,,,
338,Illegal immigration,12,0,,,,1,,,,,,,
339,Covid,48,0,,,,1,,,,,,,
340,imigration,12,0,,,,1,,,,,,,
341,economy,26,0,,,,1,,,,,,,
342,COVID,48,0,,,,1,,,,,,,
343,Economy,26,0,,,,1,,,,,,,
344,Covid19,48,0,,,,1,,,,,,,
345,Coronavirus,48,0,,,,1,,,,,,,
346,Covid omicron,48,0,,,,1,,,,,,,
347,Cost of living,32,0,,,,1,,,,,,,
348,Economy,26,0,,,,1,,,,,,,
349,Cost of living,32,0,,,,1,,,,,,,
350,Covid,48,0,,,,1,,,,,,,
351,COVD19,48,0,,,,1,,,,,,,
352,The economy,26,0,,,,1,,,,,,,
353,COVID,48,0,,,,1,,,,,,,
354,Economy,26,0,,,,1,,,,,,,
355,Economy,26,0,,,,1,,,,,,,
356,Cost of living,32,0,,,,1,,,,,,,
357,economy,26,0,,,,1,,,,,,,
358,Coronovirus,48,0,,,,1,,,,,,,
359,COVID,48,0,,,,1,,,,,,,
360,Covid,48,0,,,,1,,,,,,,
361,Food and heating,32,0,,,,1,,,,,,,
362,Covid 19,48,0,,,,1,,,,,,,
363,Covid,48,0,,,,1,,,,,,,
364,Immigration,"- ""We need to address the immigration crisis and secure our borders.""
- ""Immigration is a major concern for me, we need to have better policies in place.""
- ""I believe immigration is the most pressing issue facing our country right now.""",0,,,,1,,,,,,,
365,Covid,48,0,,,,1,,,,,,,
366,Cost of living crisis,32,0,,,,1,,,,,,,
367,Covid 19,48,0,,,,1,,,,,,,
368,Brexit,15,0,,,,1,,,,,,,
369,virus,Coronavirus,0,,,,1,,,,,,,
370,Covid,48,0,,,,1,,,,,,,
371,Rising prices for living,32,0,,,,1,,,,,,,
372,illegal immigration,12,0,,,,1,,,,,,,
373,covid,48,0,,,,1,,,,,,,
374,The coronavirus pandemic,48,0,,,,1,,,,,,,
375,Pandemic,48,0,,,,1,,,,,,,
376,Cost of living,32,0,,,,1,,,,,,,
377,cost of living,32,0,,,,1,,,,,,,
378,Cost of Living,Living costs,0,,,,1,,,,,,,
379,Covid,48,0,,,,1,,,,,,,
380,cost of living going up,32,0,,,,1,,,,,,,
381,Covid,48,0,,,,1,,,,,,,
382,Pollution,40 Environment,0,,,,1,,,,,,,
383,COVID,48,0,,,,1,,,,,,,
384,Illegal immigrants,12,0,,,,1,,,,,,,
385,Covid 19,48,0,,,,1,,,,,,,
386,Economy,26,0,,,,1,,,,,,,
387,Economy,26,0,,,,1,,,,,,,
388,covid,48,0,,,,1,,,,,,,
389,Covid 19,48,0,,,,1,,,,,,,
390,Covid variant,48,0,,,,1,,,,,,,
391,cost of living,32,0,,,,1,,,,,,,
392,Price of oil,32,0,,,,1,,,,,,,
393,Increasing prices,32 - Living costs,0,,,,1,,,,,,,
394,COVID 19,48,0,,,,1,,,,,,,
395,Immigration,,0,,,,1,,,,,,,
396,Covid 19,48,0,,,,1,,,,,,,
397,The cost of living,32,0,,,,1,,,,,,,
398,Cost of living crisis,32,0,,,,1,,,,,,,
399,climate change,40,0,,,,1,,,,,,,
400,Immigration,,0,,,,1,,,,,,,
401,The economy,26,0,,,,1,,,,,,,
402,Immigration,,0,,,,1,,,,,,,
403,C0vid,48,0,,,,1,,,,,,,
404,Cost of living,32,0,,,,1,,,,,,,
405,Climate change,40,0,,,,1,,,,,,,
406,Covid,48,0,,,,1,,,,,,,
407,Brexit,15,0,,,,1,,,,,,,
408,Covid,48,0,,,,1,,,,,,,
409,COVID,48,0,,,,1,,,,,,,
410,immigration,12,0,,,,1,,,,,,,
411,Immigration,,0,,,,1,,,,,,,
412,The various consequences of the virus,48,0,,,,1,,,,,,,
413,immigration,,0,,,,1,,,,,,,
414,COVID,48,0,,,,1,,,,,,,
415,Covid,48,0,,,,1,,,,,,,
416,Climate change,40,0,,,,1,,,,,,,
417,COVID-19,48,0,,,,1,,,,,,,
418,Covid 19,48,0,,,,1,,,,,,,
419,The economy,26,0,,,,1,,,,,,,
420,COVID 19,48,0,,,,1,,,,,,,
421,Migration across the English Channel,12,0,,,,1,,,,,,,
422,covid,48,0,,,,1,,,,,,,
423,Energy costs,32,0,,,,1,,,,,,,
424,Covid,48,0,,,,1,,,,,,,
425,Cost of living,32,0,,,,1,,,,,,,
426,COVID-19,48,0,,,,1,,,,,,,
427,covid,48,0,,,,1,,,,,,,
428,Rising prices,32 - Living costs,0,,,,1,,,,,,,
429,Economy,26,0,,,,1,,,,,,,
430,Covid,48,0,,,,1,,,,,,,
431,Economic,26,0,,,,1,,,,,,,
432,Coronavirus,48,0,,,,1,,,,,,,
433,Cost of Living,Living costs,0,,,,1,,,,,,,
434,Covid,48,0,,,,1,,,,,,,
435,economy,26,0,,,,1,,,,,,,
436,covid 19,48,0,,,,1,,,,,,,
437,Immigration,,0,,,,1,,,,,,,
438,Covid,48,0,,,,1,,,,,,,
439,Coronavirus,48,0,,,,1,,,,,,,
440,Climate change,40,0,,,,1,,,,,,,
441,PANDEMIC,48,0,,,,1,,,,,,,
442,Cost of living,32,0,,,,1,,,,,,,
443,Fuel crisis,32 for Living costs,0,,,,1,,,,,,,
444,COVID,48,0,,,,1,,,,,,,
445,Covid,48,0,,,,1,,,,,,,
446,migrants,12,0,,,,1,,,,,,,
447,The economy,26,0,,,,1,,,,,,,
448,Covid-19,48,0,,,,1,,,,,,,
449,Covid,48,0,,,,1,,,,,,,
450,Covid,48,0,,,,1,,,,,,,
451,brexit,15,0,,,,1,,,,,,,
452,Coronavirus,48,0,,,,1,,,,,,,
453,Covid 19,48,0,,,,1,,,,,,,
454,Living costs,"- ""The rising cost of housing and healthcare is putting a strain on families across the country.""
- ""I am worried about how I will be able to afford to send my kids to college with the increasing living costs.""
- ""The cost of groceries and utilities keeps going up, making it harder to make ends meet.""",0,,,,1,,,,,,,
455,Covid,48,0,,,,1,,,,,,,
456,Economy,26,0,,,,1,,,,,,,
457,Climate Change,40,0,,,,1,,,,,,,
458,costs of living,32,0,,,,1,,,,,,,
459,Corona virus,48,0,,,,1,,,,,,,
460,Covid,48,0,,,,1,,,,,,,
461,Climate chnage,40 Environment,0,,,,1,,,,,,,
462,Relationship with the EU,15,0,,,,1,,,,,,,
463,covid,48,0,,,,1,,,,,,,
464,Coronavirus,48,0,,,,1,,,,,,,
465,Immigration,"- ""We need to address the immigration crisis and come up with fair and humane solutions.""
- ""Immigration policy is a major concern for me, we need to secure our borders and also provide a path to citizenship for those already here.""
- ""Immigration is a hot-button issue that needs to be tackled head-on, it affects our economy and social fabric.""",0,,,,1,,,,,,,
466,Immigration,,0,,,,1,,,,,,,
467,Covid,48,0,,,,1,,,,,,,
468,Climate change,40,0,,,,1,,,,,,,
469,the cost of living,32,0,,,,1,,,,,,,
470,economy,26,0,,,,1,,,,,,,
471,The economy,26,0,,,,1,,,,,,,
472,COVID-19,Respond 48 for Coronavirus,0,,,,1,,,,,,,
473,Economy,26,0,,,,1,,,,,,,
474,Economic recovery,26,0,,,,1,,,,,,,
475,Covid,48,0,,,,1,,,,,,,
476,Covid control,48,0,,,,1,,,,,,,
477,Cost of living,32,0,,,,1,,,,,,,
478,Covid,48,0,,,,1,,,,,,,
479,Migrants,12,0,,,,1,,,,,,,
480,Economic Loss due to Brexit,15,0,,,,1,,,,,,,
481,Economy,26,0,,,,1,,,,,,,
482,The continuing negative effects from brexit,15,0,,,,1,,,,,,,
483,coronavirus,48,0,,,,1,,,,,,,
484,Covid,48,0,,,,1,,,,,,,
485,covid,48,0,,,,1,,,,,,,
486,COVID-19,48,0,,,,1,,,,,,,
487,Covid,48,0,,,,1,,,,,,,
488,Covid 19,48,0,,,,1,,,,,,,
489,Covid 19 Omicron variant,48,0,,,,1,,,,,,,
490,Cost of living,32,0,,,,1,,,,,,,
491,Coronavirus,Respond 48 for Coronavirus.,0,,,,1,,,,,,,
492,COVID-19,48,0,,,,1,,,,,,,
493,Covid-19,48,0,,,,1,,,,,,,
494,The Brexit deal,15,0,,,,1,,,,,,,
495,Climate change,40,0,,,,1,,,,,,,
496,pandemic,48,0,,,,1,,,,,,,
497,Climate change,40,0,,,,1,,,,,,,
498,Covid,48,0,,,,1,,,,,,,
499,covid restrictions,48,0,,,,1,,,,,,,
0,Covid,48,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
1,Immigration,,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
2,Overpopulation,40 Environment,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
3,cost of living energy prices,32,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
4,The cost of living,32,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
5,Economy,26,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
6,Covid 19,48,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
7,Covid,48,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
8,Coronarvius,48,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
9,Covid,48,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
10,Covid,48,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
11,Covid-19,48,1,0.9457507360315499,0.9147552815727582,0.9772463191376489,2,0.9457507360315499,0.9147552815727582,0.9772463191376489,0.0,0.9465989018514087,0.9175003700827877,0.974639319077471
