id,text,annotation,iteration,ka_mean,ka_lower,ka_upper,run_count,cumulative_ka_mean,cumulative_ka_lower,cumulative_ka_upper,adjacent_reference_iteration,adjacent_ka_mean,adjacent_ka_lower,adjacent_ka_upper
157,migrants,12 for Immigration,0,,,,1,,,,,,,
158,War in Ukraine,22 for War,0,,,,1,,,,,,,
159,Inflation,31,0,,,,1,,,,,,,
160,Covid and it's repercussions,48,0,,,,1,,,,,,,
161,Corona virus,48,0,,,,1,,,,,,,
162,Covid,48,0,,,,1,,,,,,,
163,Cost of living,32,0,,,,1,,,,,,,
164,coronavirus,48,0,,,,1,,,,,,,
165,Economy,26,0,,,,1,,,,,,,
166,Inflation,31,0,,,,1,,,,,,,
167,Inflation,31,0,,,,1,,,,,,,
168,covid,48,0,,,,1,,,,,,,
169,climate change,40 Environment,0,,,,1,,,,,,,
170,Cost of living,32,0,,,,1,,,,,,,
171,Covid omicron,48 - Coronavirus,0,,,,1,,,,,,,
172,Recovery from pandemic,48 - Coronavirus,0,,,,1,,,,,,,
173,COVID 19,48 (Coronavirus),0,,,,1,,,,,,,
174,Covid,48,0,,,,1,,,,,,,
175,Our prime minister,"5 - Partisan-neg i.e., complaints about a party or politician",0,,,,1,,,,,,,
176,Cost of Living increases,32,0,,,,1,,,,,,,
177,Inaction on climate change,40 Environment,0,,,,1,,,,,,,
178,Covid,48,0,,,,1,,,,,,,
179,NHS,1,0,,,,1,,,,,,,
180,Covid,48,0,,,,1,,,,,,,
181,COVID 19,48 (Coronavirus),0,,,,1,,,,,,,
182,covid 19,48,0,,,,1,,,,,,,
183,Boris Johnson,5,0,,,,1,,,,,,,
184,Migration across the English Channel,12 for Immigration,0,,,,1,,,,,,,
185,Covid,48,0,,,,1,,,,,,,
186,Global warming,40 Environment,0,,,,1,,,,,,,
187,Covid-19,48,0,,,,1,,,,,,,
188,Covid,48,0,,,,1,,,,,,,
189,Immigration,12,0,,,,1,,,,,,,
190,covid,48,0,,,,1,,,,,,,
191,The economy.,26,0,,,,1,,,,,,,
192,Covid,48,0,,,,1,,,,,,,
193,Climate change,40 Environment,0,,,,1,,,,,,,
194,Covid,48,0,,,,1,,,,,,,
195,Coronavirus,48,0,,,,1,,,,,,,
196,Cost of living,32,0,,,,1,,,,,,,
197,economy,26,0,,,,1,,,,,,,
198,Knife crime,14 Crime,0,,,,1,,,,,,,
199,Brexit,15,0,,,,1,,,,,,,
200,Economy,26,0,,,,1,,,,,,,
201,brexit,15,0,,,,1,,,,,,,
202,Coronavirus,48,0,,,,1,,,,,,,
203,Cost of living,32,0,,,,1,,,,,,,
204,covid,48,0,,,,1,,,,,,,
205,Cost of living,32,0,,,,1,,,,,,,
206,Corona virus,48,0,,,,1,,,,,,,
207,Climate change,40 Environment,0,,,,1,,,,,,,
208,Climate change,40 Environment,0,,,,1,,,,,,,
209,Covid,48,0,,,,1,,,,,,,
210,Covid 19,48,0,,,,1,,,,,,,
211,COVID 19,48,0,,,,1,,,,,,,
212,Inflation,31,0,,,,1,,,,,,,
213,Government unfit for purpose,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
214,Cost of living and paying bills,32 - Living costs,0,,,,1,,,,,,,
215,Cost of living,32,0,,,,1,,,,,,,
216,Covid,48,0,,,,1,,,,,,,
217,Brexit,15,0,,,,1,,,,,,,
218,Economic fallout from Brexit,15,0,,,,1,,,,,,,
219,economy,26,0,,,,1,,,,,,,
220,Cost of living,32,0,,,,1,,,,,,,
221,Cost of living,32,0,,,,1,,,,,,,
222,Covid 19,48,0,,,,1,,,,,,,
223,Climate change,40 Environment,0,,,,1,,,,,,,
224,Economic decline due to Brexit,15,0,,,,1,,,,,,,
225,Covid,48,0,,,,1,,,,,,,
226,Inflation and cost of living,"31 for Inflation, 32 for Living costs",0,,,,1,,,,,,,
227,Covid 19,48,0,,,,1,,,,,,,
228,Government leadership,5,0,,,,1,,,,,,,
229,Covid,48,0,,,,1,,,,,,,
230,Coronavirus,48,0,,,,1,,,,,,,
231,Covid 19,48,0,,,,1,,,,,,,
232,brexit,15,0,,,,1,,,,,,,
233,the economy,26,0,,,,1,,,,,,,
234,Imigrants,12 for Immigration,0,,,,1,,,,,,,
235,The coronavirus pandemic,48,0,,,,1,,,,,,,
236,Economy,26,0,,,,1,,,,,,,
237,COVID-19,48,0,,,,1,,,,,,,
238,Covid,48,0,,,,1,,,,,,,
239,Getting the Tories out,"5 - Partisan-neg i.e., complaints about a party or politician",0,,,,1,,,,,,,
240,Illegal immigration,12,0,,,,1,,,,,,,
241,Economy,26,0,,,,1,,,,,,,
242,Peace,22 - War,0,,,,1,,,,,,,
243,eradicating Covid,48,0,,,,1,,,,,,,
244,Cost of living,32,0,,,,1,,,,,,,
245,Rising costs,32 for Living costs,0,,,,1,,,,,,,
246,Economic state of the country,26 for Economy-general,0,,,,1,,,,,,,
247,covid,48,0,,,,1,,,,,,,
248,Gas and electric price rise,32 for Living costs,0,,,,1,,,,,,,
249,Inflation regarding ability to survive,31,0,,,,1,,,,,,,
250,Health,1,0,,,,1,,,,,,,
251,the economy,26,0,,,,1,,,,,,,
252,Cost of living crisis,32 for Living costs,0,,,,1,,,,,,,
253,Covid-19,48,0,,,,1,,,,,,,
254,Economy,26,0,,,,1,,,,,,,
255,economy,26,0,,,,1,,,,,,,
256,covid,48,0,,,,1,,,,,,,
257,Covid 19,48,0,,,,1,,,,,,,
258,Covid,48,0,,,,1,,,,,,,
259,Economy,26,0,,,,1,,,,,,,
260,environment,40,0,,,,1,,,,,,,
261,Covid,48,0,,,,1,,,,,,,
262,Poor justice system,14 - Crime,0,,,,1,,,,,,,
263,Immigration,12,0,,,,1,,,,,,,
264,Economy,26,0,,,,1,,,,,,,
265,covid,48,0,,,,1,,,,,,,
266,Brexit,15,0,,,,1,,,,,,,
267,Covid_19,48,0,,,,1,,,,,,,
268,Covid,48,0,,,,1,,,,,,,
269,the economy,26,0,,,,1,,,,,,,
270,NHS waiting lists,1,0,,,,1,,,,,,,
271,The economy and cost of living,"32 for Living costs, 26 for Economy-general",0,,,,1,,,,,,,
272,Covid-19,48,0,,,,1,,,,,,,
273,economy,26,0,,,,1,,,,,,,
274,Covid,48,0,,,,1,,,,,,,
275,COVID 19,48 (Coronavirus),0,,,,1,,,,,,,
276,Covid,48,0,,,,1,,,,,,,
277,Covid,48,0,,,,1,,,,,,,
278,cost of living,32,0,,,,1,,,,,,,
279,It's government. Or lack of,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
280,To many immigrants living in uk,12 for Immigration,0,,,,1,,,,,,,
281,coronavirus,48,0,,,,1,,,,,,,
282,the Covid vaccinations,48 for Coronavirus,0,,,,1,,,,,,,
283,Covid,48,0,,,,1,,,,,,,
284,NHS,1,0,,,,1,,,,,,,
285,Covid 19,48,0,,,,1,,,,,,,
286,The corrupt government,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
287,Immigrants,12,0,,,,1,,,,,,,
288,Covid,48,0,,,,1,,,,,,,
289,Economy,26,0,,,,1,,,,,,,
290,uk government corruption,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
291,Economy,26,0,,,,1,,,,,,,
292,Coronavirus,48,0,,,,1,,,,,,,
293,Covid,48,0,,,,1,,,,,,,
294,Immigration,12,0,,,,1,,,,,,,
295,Energy prices,32 for Living costs,0,,,,1,,,,,,,
296,Covid,48,0,,,,1,,,,,,,
297,Immigration,12,0,,,,1,,,,,,,
298,Overpopulation,40 Environment,0,,,,1,,,,,,,
299,Brexit,15,0,,,,1,,,,,,,
300,Economy,26,0,,,,1,,,,,,,
301,Covid 19,48,0,,,,1,,,,,,,
302,Inflation,31,0,,,,1,,,,,,,
303,Price increases,31 for Inflation,0,,,,1,,,,,,,
304,rising prices,31 for Inflation,0,,,,1,,,,,,,
305,Covid,48,0,,,,1,,,,,,,
306,Covid 19,48,0,,,,1,,,,,,,
307,Conservative Government,"5 for Partisan-neg i.e., complaints about a party or politician",0,,,,1,,,,,,,
308,Covid,48,0,,,,1,,,,,,,
309,Migrants,12 for Immigration,0,,,,1,,,,,,,
310,Covid,48,0,,,,1,,,,,,,
311,Control of the pandemic,48 - Coronavirus,0,,,,1,,,,,,,
312,Covid,48,0,,,,1,,,,,,,
313,covid 19,48,0,,,,1,,,,,,,
314,Covid,48,0,,,,1,,,,,,,
315,Ecomomy,26,0,,,,1,,,,,,,
316,COVID,48,0,,,,1,,,,,,,
317,N H S,1,0,,,,1,,,,,,,
318,Cost of living,32,0,,,,1,,,,,,,
319,COVID,48,0,,,,1,,,,,,,
320,Covid,48,0,,,,1,,,,,,,
321,Energy costs,32 for Living costs,0,,,,1,,,,,,,
322,Covid,48,0,,,,1,,,,,,,
323,inflation,31,0,,,,1,,,,,,,
324,Covid-19,48,0,,,,1,,,,,,,
325,covid,48,0,,,,1,,,,,,,
326,Economy,26,0,,,,1,,,,,,,
327,covid,48,0,,,,1,,,,,,,
328,Cost of living,32,0,,,,1,,,,,,,
329,Rise in cost of living,32 for Living costs,0,,,,1,,,,,,,
330,cost of living,32 for Living costs,0,,,,1,,,,,,,
331,Civid,48 - Coronavirus,0,,,,1,,,,,,,
332,The economy,26,0,,,,1,,,,,,,
333,Inflation,31,0,,,,1,,,,,,,
334,Cost of living,32,0,,,,1,,,,,,,
335,economy,26,0,,,,1,,,,,,,
336,world instability initiated by Russia,22 for War,0,,,,1,,,,,,,
337,brexit,15,0,,,,1,,,,,,,
338,covid,48,0,,,,1,,,,,,,
339,COVID,48,0,,,,1,,,,,,,
340,Covid,48,0,,,,1,,,,,,,
341,The costs of covid,48,0,,,,1,,,,,,,
342,COVID,48,0,,,,1,,,,,,,
343,cost of living,32,0,,,,1,,,,,,,
344,Coronavirus,48,0,,,,1,,,,,,,
345,Corruption in government,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
346,Covid,48,0,,,,1,,,,,,,
347,Immigration,12,0,,,,1,,,,,,,
348,idiots running the country,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
349,Economy,26,0,,,,1,,,,,,,
350,Economy,26,0,,,,1,,,,,,,
351,Environmental,40 - Environment,0,,,,1,,,,,,,
352,Coronavirus,48,0,,,,1,,,,,,,
353,Covid,48,0,,,,1,,,,,,,
354,Climate change,40 Environment,0,,,,1,,,,,,,
355,Pandemic,48,0,,,,1,,,,,,,
356,Covid spread,48,0,,,,1,,,,,,,
357,Covid-19,48,0,,,,1,,,,,,,
358,Economy,26,0,,,,1,,,,,,,
359,War in Ukraine,22 for War,0,,,,1,,,,,,,
360,covid,48,0,,,,1,,,,,,,
361,NHS,1,0,,,,1,,,,,,,
362,covid,48,0,,,,1,,,,,,,
363,The economy,26,0,,,,1,,,,,,,
364,Covid,48,0,,,,1,,,,,,,
365,COVID,48,0,,,,1,,,,,,,
366,NHS is a disaster,1,0,,,,1,,,,,,,
367,Covid,48,0,,,,1,,,,,,,
368,Covid pandemic,48,0,,,,1,,,,,,,
369,The Brexit deal,15 for Europe,0,,,,1,,,,,,,
370,economy,26,0,,,,1,,,,,,,
371,Cost of living rise,32 for Living costs,0,,,,1,,,,,,,
372,The cost of living,32,0,,,,1,,,,,,,
373,pandemic,48,0,,,,1,,,,,,,
374,cost of living,32,0,,,,1,,,,,,,
375,Economy,26,0,,,,1,,,,,,,
376,Covid,48,0,,,,1,,,,,,,
377,The cost of living,32,0,,,,1,,,,,,,
378,Cost of living,32,0,,,,1,,,,,,,
379,economy,26,0,,,,1,,,,,,,
380,Economic recovery,26 - Economy-general,0,,,,1,,,,,,,
381,Climate Change,40 Environment,0,,,,1,,,,,,,
382,Covid-19,48,0,,,,1,,,,,,,
383,Inflation,31,0,,,,1,,,,,,,
384,THE ECONOMY,26,0,,,,1,,,,,,,
385,cost of living crisis,32,0,,,,1,,,,,,,
386,inflation,31,0,,,,1,,,,,,,
387,Immigration,12,0,,,,1,,,,,,,
388,Covid,48,0,,,,1,,,,,,,
389,Covid variant,48,0,,,,1,,,,,,,
390,economy,26,0,,,,1,,,,,,,
391,price of energy,32,0,,,,1,,,,,,,
392,Brexit,15,0,,,,1,,,,,,,
393,Covid,48,0,,,,1,,,,,,,
394,Cost of living,32,0,,,,1,,,,,,,
395,immigration,12,0,,,,1,,,,,,,
396,covid 19,48,0,,,,1,,,,,,,
397,covid,48,0,,,,1,,,,,,,
398,Climate change,40 Environment,0,,,,1,,,,,,,
399,The cost of living,32,0,,,,1,,,,,,,
400,Cost of living,32,0,,,,1,,,,,,,
401,Economy,26,0,,,,1,,,,,,,
402,Cost of living,32,0,,,,1,,,,,,,
403,Covid,48,0,,,,1,,,,,,,
404,coronoa virus,48,0,,,,1,,,,,,,
405,The failed government,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
406,Covid 19,48,0,,,,1,,,,,,,
407,covid,48,0,,,,1,,,,,,,
408,Coronavirus,48,0,,,,1,,,,,,,
409,COVD19,48,0,,,,1,,,,,,,
410,Covid,48,0,,,,1,,,,,,,
411,The Conservative Government eroding democracy.,"5 for Partisan-neg i.e., complaints about a party of politician",0,,,,1,,,,,,,
412,Covid,48,0,,,,1,,,,,,,
413,Affordability,32,0,,,,1,,,,,,,
414,covid,48,0,,,,1,,,,,,,
415,climate change,40 Environment,0,,,,1,,,,,,,
416,The destruction of the country's economy and morals due to the racism and stupidity of Brexit,15,0,,,,1,,,,,,,
417,Economic fallout from Brexit and CV19,15,0,,,,1,,,,,,,
418,Covid,48,0,,,,1,,,,,,,
419,Immigration,12,0,,,,1,,,,,,,
420,Nhs,1,0,,,,1,,,,,,,
421,economy,26,0,,,,1,,,,,,,
422,COVID-19,48,0,,,,1,,,,,,,
423,immigration,12,0,,,,1,,,,,,,
424,Crime,"- ""The rise in crime rates across the country is very concerning.""
- ""I believe addressing crime and improving public safety should be the top priority for the government.""
- ""The issue of crime and violence in our communities needs to be tackled effectively.""",0,,,,1,,,,,,,
425,Coronavirus,48,0,,,,1,,,,,,,
426,Lack of choice in medical alternatives within nhs,1,0,,,,1,,,,,,,
427,Inflation,31,0,,,,1,,,,,,,
428,The various consequences of the virus,48 - Coronavirus,0,,,,1,,,,,,,
429,Covid,48,0,,,,1,,,,,,,
430,COVID,48,0,,,,1,,,,,,,
431,Covid 19,48,0,,,,1,,,,,,,
432,Energy prices,32 for Living costs,0,,,,1,,,,,,,
433,Cost of living crisis,32 for Living costs,0,,,,1,,,,,,,
434,Russia/Ukraine conflict,22 War,0,,,,1,,,,,,,
435,illegal migrants,12 for Immigration,0,,,,1,,,,,,,
436,COVID,48,0,,,,1,,,,,,,
437,Covid,48,0,,,,1,,,,,,,
438,covid,48,0,,,,1,,,,,,,
439,Brexit,15,0,,,,1,,,,,,,
440,Economy,26,0,,,,1,,,,,,,
441,Cost of living,32,0,,,,1,,,,,,,
442,The government,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
443,Climate change,40 Environment,0,,,,1,,,,,,,
444,Conservative government,5,0,,,,1,,,,,,,
445,Global warming / Climate change,40 Environment,0,,,,1,,,,,,,
446,Covid 19 and the variants,48 - Coronavirus,0,,,,1,,,,,,,
447,cost of living,32,0,,,,1,,,,,,,
448,Violent crime,14,0,,,,1,,,,,,,
449,Brexit,15,0,,,,1,,,,,,,
450,Covid,48,0,,,,1,,,,,,,
451,Energy costs,32 for Living costs,0,,,,1,,,,,,,
452,Peak Oil / Energy crisis,32 for Living costs,0,,,,1,,,,,,,
453,COVID pandemic,48,0,,,,1,,,,,,,
454,ECONOMY RISING PRICES,31 for Inflation,0,,,,1,,,,,,,
455,economy,26,0,,,,1,,,,,,,
456,Economy,26,0,,,,1,,,,,,,
457,Covid,48,0,,,,1,,,,,,,
458,Financial,32 for Living costs,0,,,,1,,,,,,,
459,Economy,26,0,,,,1,,,,,,,
460,Corona,48,0,,,,1,,,,,,,
461,Brexit,15,0,,,,1,,,,,,,
462,costs of living,32,0,,,,1,,,,,,,
463,Covid,48,0,,,,1,,,,,,,
464,Inflation,31,0,,,,1,,,,,,,
465,Blocking the Police & Crime bill,14 for Crime,0,,,,1,,,,,,,
466,Climate change,40 Environment,0,,,,1,,,,,,,
467,COVID,48,0,,,,1,,,,,,,
468,Covid,48,0,,,,1,,,,,,,
469,Cost of living.,32 for Living costs.,0,,,,1,,,,,,,
470,Economy,26,0,,,,1,,,,,,,
471,Cost of living,32,0,,,,1,,,,,,,
472,Climate change,40 Environment,0,,,,1,,,,,,,
473,Covid19,48,0,,,,1,,,,,,,
474,health - fighting the Corona virus,48,0,,,,1,,,,,,,
475,Climate Change,40 Environment,0,,,,1,,,,,,,
476,Covid,48,0,,,,1,,,,,,,
477,covid,48,0,,,,1,,,,,,,
478,Covid 19,48,0,,,,1,,,,,,,
479,Covid 19,48,0,,,,1,,,,,,,
480,Immigration,12,0,,,,1,,,,,,,
481,covid,48,0,,,,1,,,,,,,
482,covid,48,0,,,,1,,,,,,,
483,Covid,48,0,,,,1,,,,,,,
484,Corona virus,48,0,,,,1,,,,,,,
485,NHS,1,0,,,,1,,,,,,,
486,Broken government promises and wasteful spending,"4 - Pol-neg i.e., complaints about politics",0,,,,1,,,,,,,
487,Economy,26,0,,,,1,,,,,,,
488,Coronavirus,48,0,,,,1,,,,,,,
489,coronavirus,48,0,,,,1,,,,,,,
490,Financial situations,32 for Living costs,0,,,,1,,,,,,,
491,The economy,26,0,,,,1,,,,,,,
492,Covid,48,0,,,,1,,,,,,,
493,Illegal immigration,12,0,,,,1,,,,,,,
494,Economy & cost of living,32 for Living costs,0,,,,1,,,,,,,
495,climate change,40 Environment,0,,,,1,,,,,,,
496,Pandemic,48,0,,,,1,,,,,,,
497,Economy,26,0,,,,1,,,,,,,
498,Covid-19,48,0,,,,1,,,,,,,
499,Climate change,40 Environment,0,,,,1,,,,,,,
0,Economy,26,1,0.9140950221137435,0.8826944121372802,0.9448066404124497,2,0.9140950221137435,0.8826944121372802,0.9448066404124497,0.0,0.915732090663905,0.8849382573403054,0.9479437343344607
1,Poor Government,"4 - Pol-neg i.e., complaints about politics",1,0.9140950221137435,0.8826944121372802,0.9448066404124497,2,0.9140950221137435,0.8826944121372802,0.9448066404124497,0.0,0.915732090663905,0.8849382573403054,0.9479437343344607
2,COVID 19,48 (Coronavirus),1,0.9140950221137435,0.8826944121372802,0.9448066404124497,2,0.9140950221137435,0.8826944121372802,0.9448066404124497,0.0,0.915732090663905,0.8849382573403054,0.9479437343344607
3,immigration,12,1,0.9140950221137435,0.8826944121372802,0.9448066404124497,2,0.9140950221137435,0.8826944121372802,0.9448066404124497,0.0,0.915732090663905,0.8849382573403054,0.9479437343344607
4,The cost of living crisis,32 for Living costs,1,0.9140950221137435,0.8826944121372802,0.9448066404124497,2,0.9140950221137435,0.8826944121372802,0.9448066404124497,0.0,0.915732090663905,0.8849382573403054,0.9479437343344607
